State,County,Income
Iowa,Dickinson,62364
Iowa,Dubuque,51525
Iowa,Emmet,48926
Iowa,Fayette,46621
Iowa,Floyd,50203
Iowa,Franklin,53241
Iowa,Fremont,50441
Iowa,Greene,53039
Iowa,Grundy,55017
Iowa,Guthrie,54843
Iowa,Hamilton,58399
Iowa,Hancock,57702
Iowa,Hardin,52844
Iowa,Harrison,49085
Iowa,Henry,44932
Iowa,Howard,53184
Iowa,Humboldt,52742
Iowa,Ida,56128
Iowa,Iowa,56382
Iowa,Jackson,47052
Iowa,Jasper,43987
Iowa,Jefferson,41936
Iowa,Johnson,54917
Iowa,Jones,45927
Iowa,Keokuk,48084
Iowa,Kossuth,56902
Iowa,Lee,43430
Iowa,Linn,53533
Iowa,Louisa,46211
Iowa,Lucas,43061
Iowa,Lyon,66756
Iowa,Madison,50460
Iowa,Mahaska,46516
Iowa,Marion,50862
Iowa,Marshall,44589
Iowa,Mills,57897
Iowa,Mitchell,69700
Iowa,Monona,50103
Iowa,Monroe,46356
Iowa,Montgomery,44918
Iowa,Muscatine,48563
Iowa,O'Brien,61246
Iowa,Osceola,61277
Iowa,Page,44442
Iowa,Palo Alto,58989
Iowa,Plymouth,60040
Iowa,Pocahontas,61992
Iowa,Polk,53859
Iowa,Pottawattamie,47150
Iowa,Poweshiek,47199
Iowa,Ringgold,50405
Iowa,Sac,59085
Iowa,Scott,55758
Iowa,Shelby,56323
Iowa,Sioux,58585
Iowa,Story,43643
Iowa,Tama,48923
Iowa,Taylor,45093
Iowa,Union,42530
Iowa,Van Buren,42908
Iowa,Wapello,40344
Iowa,Warren,51776
Iowa,Washington,62145
Iowa,Wayne,44614
Iowa,Webster,48588
Iowa,Winnebago,45793
Iowa,Winneshiek,51904
Iowa,Woodbury,45132
Iowa,Worth,44675
Iowa,Wright,55258
Kansas,Allen,43163
Kansas,Anderson,42046
Kansas,Atchison,40335
Kansas,Barber,48489
Kansas,Barton,49460
Kansas,Bourbon,46149
Kansas,Brown,47930
Kansas,Butler,48216
Kansas,Chase,53882
Kansas,Chautauqua,43327
Kansas,Cherokee,42872
Kansas,Cheyenne,54890
Kansas,Clark,64457
Kansas,Clay,46888
Kansas,Cloud,41892
Kansas,Coffey,55119
Kansas,Comanche,46878
Kansas,Cowley,40042
Kansas,Crawford,39788
Kansas,Decatur,50635
Kansas,Dickinson,44101
Kansas,Doniphan,44486
Kansas,Douglas,45163
Kansas,Edwards,62707
Kansas,Elk,41529
